Company,CompanyURI,Model,Type,Type_URI,Screen_Size_Inches,Screen_Resolution_Pixels,CPU,CPU_URI,CPU_Speed_GHz,RAM_Size_GB,Storage,GPU,GPU_URI,Operating_System,Operating_System_URI,Weight_KG,Price_EUR
Apple,https://www.wikidata.org/entity/Q312,MacBook Pro,Ultrabook,https://www.wikidata.org/entity/Q2477770,13.3,2560x1600,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2.3,8,128GB SSD,Intel Iris Plus Graphics 640,https://www.wikidata.org/entity/Q98611892,Mac OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#macOS_,1.37,1339.69
Apple,https://www.wikidata.org/entity/Q312,Macbook Air,Ultrabook,https://www.wikidata.org/entity/Q2477770,13.3,1440x900,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.8,8,128GB Flash Storage,Intel HD Graphics,https://www.wikidata.org/entity/Q1665604,Mac OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#macOS_,1.34,898.94
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,250 G6,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2.5,8,256GB SSD,Intel HD Graphics 620,https://www.wikidata.org/entity/Q98611752,No OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#No_OS_,1.86,575
Apple,https://www.wikidata.org/entity/Q312,MacBook Pro,Ultrabook,https://www.wikidata.org/entity/Q2477770,15.4,2880x1800,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.7,16,512GB SSD,Radeon Pro,https://www.wikidata.org/entity/Q28402491,Mac OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#macOS_,1.83,2537.45
Acer,https://www.wikidata.org/entity/Q481778,Aspire 3,laptop,https://www.wikidata.org/entity/Q3962,15.6,1366x768,AMD microprocessor,https://www.wikidata.org/entity/Q12047069,3,4,500GB HDD,Radeon,https://www.wikidata.org/entity/Q295089,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.1,400
Apple,https://www.wikidata.org/entity/Q312,Macbook Air,Ultrabook,https://www.wikidata.org/entity/Q2477770,13.3,1440x900,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.8,8,256GB Flash Storage,Intel HD Graphics,https://www.wikidata.org/entity/Q1665604,Mac OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#macOS_,1.34,1158.7
ASUS,https://www.wikidata.org/entity/Q152864,ZenBook UX430UN,Ultrabook,https://www.wikidata.org/entity/Q2477770,14,1920x1080,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,1.8,16,512GB SSD,GeForce,https://www.wikidata.org/entity/Q825762,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.3,1495
Acer,https://www.wikidata.org/entity/Q481778,Swift 3,Ultrabook,https://www.wikidata.org/entity/Q2477770,14,1920x1080,Intel Core 5,https://www.wikidata.org/entity/Q1044821,1.6,8,256GB SSD,Intel UHD Graphics 620,https://www.wikidata.org/entity/Q98614745,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,1.6,770
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,250 G6,laptop,https://www.wikidata.org/entity/Q3962,15.6,1366x768,Intel Core 5,https://www.wikidata.org/entity/Q1044821,2.5,4,500GB HDD,Intel HD Graphics 620,https://www.wikidata.org/entity/Q98611752,No OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#No_OS_,1.86,393.9
Hewlett-Packard,https://www.wikidata.org/entity/Q80978,250 G6,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Core 3,https://www.wikidata.org/entity/Q1152382,2,4,500GB HDD,Intel HD Graphics 520,https://www.wikidata.org/entity/Q98617327,No OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#No_OS_,1.86,344.99
Apple,https://www.wikidata.org/entity/Q312,MacBook Pro,Ultrabook,https://www.wikidata.org/entity/Q2477770,15.4,2880x1800,Core i7 Extreme,https://www.wikidata.org/entity/Q16545046,2.8,16,256GB SSD,Radeon Pro,https://www.wikidata.org/entity/Q28402491,Mac OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#macOS_,1.83,2439.97
Dell Inc.,https://www.wikidata.org/entity/Q30873,Inspiron 3567,laptop,https://www.wikidata.org/entity/Q3962,15.6,1920x1080,Core 3,https://www.wikidata.org/entity/Q1152382,2,4,256GB SSD,Radeon,https://www.wikidata.org/entity/Q295089,Windows 10,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#Windows_10_,2.2,498.9
Apple,https://www.wikidata.org/entity/Q312,MacBook,Ultrabook,https://www.wikidata.org/entity/Q2477770,12,2304x1440,Intel Core m3-7Y30,https://www.wikidata.org/entity/Q98611686,1.2,8,256GB SSD,Intel HD Graphics 615,https://www.wikidata.org/entity/Q98609804,Mac OS,http://w3id.org/FAIR-course-UT/2024-2025/3/ont#macOS_,0.92,1262.4
